ID,Item title,Final URL,Image URL,price,sale_price,Contextual keywords
1000000029,뉴트리원 골드 프로폴리스 스프레이 1박스 1개월분 항균 구강 호주산 환절기,https://www.nutrione.co.kr/goods/goods_view.php?goodsNo=1000000029,https://www.nutrione.co.kr/data/goods/18/09/37/1000000029/1000000029_detail_047.png,24700 KRW,19700 KRW,"프로폴리스 스프레이 30ml,면역력,잔병,감기,어린이 영양제,영양제,스프레이 영양제,꿀,벌꿀,뼈,뼈 건강,관절,연골,허리,어깨,무릎,골다공증,입병,혓바늘,구강,항염,항생제,항바이러스,바이러스,항균,세균,항암,질염,Y존,여자,여성,칸디다,생식기,자궁,질"
1000000080,뉴트리원 자연담은 노니1L 1팩 약 33일분 자연 발효 100% 원액 슈퍼푸드 폴리페놀,https://www.nutrione.co.kr/goods/goods_view.php?goodsNo=1000000080,https://www.nutrione.co.kr/data/goods/18/09/38/1000000080/1000000080_detail_042.png,21000 KRW,16800 KRW,"자연담은 노니 1000ml,노니,노니주스,노니쥬스,노니원액,노니진액,노니즙,진액,즙,주스,염증,염증에좋은,선물,실버,노인,고령,명절,아버지,어머니,30대,40대,50대,60대,70대,80대,슈퍼푸드,면역력,피로에 좋은,피곤,피로,암,항암,당뇨,항염,통증,폴리페놀,항산화,노화,혈관,비연,관절염,소화,소화기능,정력,남성,남자,기력,골다공증,무릎,허리,어깨,종합건강,종합영양제,가족"
1000000274,뉴트리원 자연담은 노니1L 10팩 약 330일분 자연 발효 100% 원액 슈퍼푸드 폴리페놀,https://www.nutrione.co.kr/goods/goods_view.php?goodsNo=1000000274,https://www.nutrione.co.kr/data/goods/18/10/41/1000000274/1000000274_detail_087.png,178000 KRW,149000 KRW,"자연담은 노니 1000ml,노니,노니주스,노니쥬스,노니원액,노니진액,노니즙,진액,즙,주스,염증,염증에좋은,선물,실버,노인,고령,명절,아버지,어머니,30대,40대,50대,60대,70대,80대,슈퍼푸드,면역력,피로에 좋은,피곤,피로,암,항암,당뇨,항염,통증,폴리페놀,항산화,노화,혈관,비연,관절염,소화,소화기능,정력,남성,남자,기력,골다공증,무릎,허리,어깨,종합건강,종합영양제,가족"
1000000381,[재입고] 뉴트리원 정우성 루테인 지아잔틴 164 4박스 4개월분 눈 영양제 건강 노화 비타민 아연,https://www.nutrione.co.kr/goods/goods_view.php?goodsNo=1000000381,https://www.nutrione.co.kr/data/goods/18/11/48/1000000381/1000000381_detail_012.png,99700 KRW,71900 KRW,"루테인,지아잔틴,황반변성,시력,루테인 지아잔틴 164 30캡슐,눈,안구,눈건강,눈영양제,직장인,아버지,노안,노화,어머니,시댁,선물,시어머니,시아버지,안구건강,황반,시각,시력영양제,눈에좋은,눈에 좋은,시력에 좋은,10대,20대,30대,40대,50대,60대,70대,80대,실버,주부,선물,시력에,눈에,노인,어르신,선물"
1000000420,[재입고] 뉴트리원 정우성 루테인 지아잔틴 164 6박스 6개월분 눈 건강 영양제 노화 비타민 아연,https://www.nutrione.co.kr/goods/goods_view.php?goodsNo=1000000420,https://www.nutrione.co.kr/data/goods/18/12/52/1000000420/1000000420_detail_096.png,174000 KRW,99000 KRW,"루테인,지아잔틴,황반변성,시력,루테인 지아잔틴 164 30캡슐,눈,안구,눈건강,눈영양제,직장인,아버지,노안,노화,어머니,시댁,선물,시어머니,시아버지,안구건강,황반,시각,시력영양제,눈에좋은,눈에 좋은,시력에 좋은,10대,20대,30대,40대,50대,60대,70대,80대,실버,주부,선물,시력에,눈에,노인,어르신,선물,메리골드,마리골드,"
1000000421,뉴트리원 정우성 트리플엑스 127 1박스 1개월분 RTG 오메가3 멀티 종합 비타민 에너지 뼈 근육,https://www.nutrione.co.kr/goods/goods_view.php?goodsNo=1000000421,https://www.nutrione.co.kr/data/goods/19/01/01/1000000421/1000000421_detail_061.png,35900 KRW,26900 KRW,"정우성종합영양제,오메가3,비타민12종,미네랄7종,오메가3,오메가,비타민,미네랄,종합영양제,정우성,종합비타민,비타민A,비타민B,비타민C,비타민D,비타민E,셀렌,망간,칼슘,구리,아연,비오틴,엽산,비오틴,EPA,DHA,RTG,근육,신진대사,뼈,뼈건강,관절,면역,활력,에너지,종합,가족,어르신,노인,10대,20대,30대,40대,50대,60대,70대,80대,혈액,성장,여자,여성,남자,남성,청소년,학생,중학생,고등학생,직장인,주부"
1000000422,뉴트리원 정우성 멀티비타민 미네랄 139 1박스 2개월분 종합 비타민 미네랄 22종 영양소,https://www.nutrione.co.kr/goods/goods_view.php?goodsNo=1000000422,https://www.nutrione.co.kr/data/goods/19/01/01/1000000422/1000000422_detail_023.png,29800 KRW,22500 KRW,"정우성 비타민,멀티비타민,종합영양제,정우성 멀티비타민,온가족영양제,정우성 멀티비타민미네랄139 60정,주부,직장인,남성,남자,여자,여성,10대,20대,30대,40대,50대,60대,70대,80대,실버,노인,청소년,중학생,고등학생,성장기,칼슘,마그네슘,노년층,선물,비오틴,엽산,비타민C,비타민A,비타민B,비타민D,비타민E,비타민K,프리미엄,온가족,가족,항산화,에너지,활력,피로,피곤,피부,눈,시력,뼈,혈액,골다공증,관절,단백질,탈모,신경,근육,유해산소,면역력"
1000000463,뉴트리원 정우성 루테인 지아잔틴 164 3박스 3개월분 눈 영양제 건강 노화 비타민 아연,https://www.nutrione.co.kr/goods/goods_view.php?goodsNo=1000000463,https://www.nutrione.co.kr/data/goods/19/02/08/1000000463/1000000463_detail_093.png,85900 KRW,54900 KRW,"루테인,지아잔틴,황반변성,시력,루테인 지아잔틴 164 30캡슐,눈,안구,눈건강,눈영양제,직장인,아버지,노안,노화,어머니,시댁,선물,시어머니,시아버지,안구건강,황반,시각,시력영양제,눈에좋은,눈에 좋은,시력에 좋은,10대,20대,30대,40대,50대,60대,70대,80대,실버,주부,선물,시력에,눈에,노인,어르신,선물"
1000000465,뉴트리원 정우성 멀티비타민 미네랄 139 3박스 6개월분 종합 비타민 미네랄 22종 영양소,https://www.nutrione.co.kr/goods/goods_view.php?goodsNo=1000000465,https://www.nutrione.co.kr/data/goods/19/02/08/1000000465/1000000465_detail_087.png,78700 KRW,59800 KRW,"정우성 비타민,멀티비타민,종합영양제,정우성 멀티비타민,온가족영양제,정우성 멀티비타민미네랄139 60정,주부,직장인,남성,남자,여자,여성,10대,20대,30대,40대,50대,60대,70대,80대,실버,노인,청소년,중학생,고등학생,성장기,칼슘,마그네슘,노년층,선물,비오틴,엽산,비타민C,비타민A,비타민B,비타민D,비타민E,비타민K,프리미엄,온가족,가족,항산화,에너지,활력,피로,피곤,피부,눈,시력,뼈,혈액,골다공증,관절,단백질,탈모,신경,근육,유해산소,면역력"
1000000466,뉴트리원 정우성 트리플엑스 127 3박스 3개월분 RTG 오메가3 멀티 종합 비타민 에너지 뼈 근육,https://www.nutrione.co.kr/goods/goods_view.php?goodsNo=1000000466,https://www.nutrione.co.kr/data/goods/19/02/08/1000000466/1000000466_detail_046.png,98000 KRW,63900 KRW,"정우성종합영양제,오메가3,비타민12종,미네랄7종,오메가3,오메가,비타민,미네랄,종합영양제,정우성,종합비타민,비타민A,비타민B,비타민C,비타민D,비타민E,셀렌,망간,칼슘,구리,아연,비오틴,엽산,비오틴,EPA,DHA,RTG,근육,신진대사,뼈,뼈건강,관절,면역,활력,에너지,종합,가족,어르신,노인,10대,20대,30대,40대,50대,60대,70대,80대,혈액,성장,여자,여성,남자,남성,청소년,학생,중학생,고등학생,직장인,주부"
1000000468,뉴트리원 정우성 프로바이오틱스 100+ 3박스 3개월분 유산균 100억마리 신 바이오틱스 프로 프리,https://www.nutrione.co.kr/goods/goods_view.php?goodsNo=1000000468,https://www.nutrione.co.kr/data/goods/19/02/08/1000000468/1000000468_detail_05.png,86300 KRW,69000 KRW,"정우성 프로바이오틱스 100+ ,유산균,대장,장,장건강,장 건강,대장 건강,변비,변비에좋은,과민성,대장증후군,과민성 대장증후군,치질,치질에 좋은,변비에 좋은,장트러블,어린이,유아,학생,10대,고등학생,중학생,초등학생,20대,직장인,30대,남성,여성,임산부,출산,남자,여자,40대,50대,60대,70대,80대,노년층,노년,어르신,노인,실버,중장년,중년,장년"
